title,creation_date,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Hôtel de la Duchesse de Villars--rue des Saints-Pères,1901-1902,albumen print,2002.24.2.3,cmoa:things/bff5fb1b-1e33-479c-a9e5-acd61d07c526,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,7.0,8.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=44,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98597&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
Ancien Monastère des Bénédictins anglais--269 rue Saint-Jacques,1905,albumen print,2002.24.2.5,cmoa:things/95c2efac-cbeb-4886-8fe0-dd97ad675a2b,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,7.0,8.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=46,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98599&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=23519&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
"Fontaine du Montreuil, faubourg Saint-Antoine (à l'angle de la rue de Charonne)",1904-1905,albumen print,2002.24.2.4,cmoa:things/f46e92ad-427a-4262-9bfa-ad06af9da8ef,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,7.0,8.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=58,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98593&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=23272&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
"Rue (du Chevalier) de la Barre-Montmarte, 18e arrondissement",1899-1900,albumen print,2002.24.2.1,cmoa:things/5575373f-33e5-43ee-8214-a77383762d93,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,6.75,8.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=64,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98596&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
"Cabaret de l'Épée de Bois - ou fut assassiné, sous la Régence, le financier Lacroix par le Comte de Horn, rue Quincampoix 54 (4e arrondissement)",1901,albumen print,2002.24.2.2,cmoa:things/50a2526c-08a2-4b35-97f6-3b0f4aa9e43d,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,7.0,8.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=65,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98607&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
"Hôtel, 50 rue de Turenne",1913,albumen print,2002.24.2.6,cmoa:things/863ae0d8-f590-4e31-8083-a7bc9d1dec53,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,8.75,6.938,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=66,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98598&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
"Façade d'une maison, quai de l'Horloge 21",1913,albumen print,2002.24.2.7,cmoa:things/0ceb8649-40a0-4eb8-b214-f60867b3e28e,Second Century Acquisition Fund,2002-06-06,Photography,Not on View,7.0,8.563,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=67,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=98600&size=Medium,cmoa:parties/bca38816-6f7e-423d-b070-e42e9cd3143d,Person,Eugène Atget,"Atget, Eugène",,French,1857-01-01,1927-01-01,"Libourne (Gironde, Aquitaine, France)",Paris
Marcel Duchamp,1964,gelatin silver print with hand applied text,2002.33.2,cmoa:things/8981ce09-acef-45a3-91f3-2c8f763c75f9,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,16.0,19.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=309,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=29084&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Jeanne Moreau,1967,gelatin silver print,2002.33.3,cmoa:things/d498ebf1-da10-4682-9934-6f5e30d6ec1c,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,14.0,10.938,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=310,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7974&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
David Hemmings,1968,gelatin silver print,2002.33.4,cmoa:things/26800a97-b0ed-488c-86b0-3aff3c5a2baa,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,9.875,8.0,1.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=311,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=11786&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
